row_id,text_clean,label_num,label,subject
26,"registration confirmation from spinner . com registration confirmation from spinner . com thank you for joining spinner . com : the web ' s largest source of free streaming music just wanted to confirm your registration with spinner - - you now have complete access to spinner ' s 150 + professionally programmed music channels and the entire spinner . com website . and just to remind you , the player , the website , and ( most importantly ! ) the music are all totally free . * your user name is : junglo we have omitted your password for your privacy . please hang on to this email so you can easily retrieve your user name if you forget it . * forget your password ? enter your user name and email address at our password retrieval page and we ' ll email it to you : * you can also change your email address from your my profile page : http : / / www . spinner . com / profile / * for download / installation assistance , visit our help pages : http : / / www . spinner . com / help / download / * if you have any questions or any problems at all , please email us at : feedback @ spinner . com our users listen to 20 million songs a week , from almost every genre of music you can imagine . they also learn more about everything they hear by clicking on the player : * get bios on every artist you hear by clicking "" artist info , "" and purchase their cds by clicking "" buy this cd "" . * click "" rate song "" to let our djs know what you think of each song you hear - - they ' ll use your feedback to determine song play . * click "" channel "" to see this week ' s top 25 songs on the channel you ' re playing , ranked in order of popularity . * for even more great info on our channels and music , visit spinner . com . you can find out what channels play your favorite artists , download great free songs , and take part in cool promotions and contests . thanks again for registering . if you like what you hear , tell a friend about spinner . enjoy the music ! the spinner crew if you received this email in error , you can unsubscribe from our service here : http : / / www . spinner . com / unsubscribe /",0,ham,registration confirmation from spinner . com
5014,"young families egg hunt young families egg hunt bammelyoungfamilies - - - - - - - - - - - - - - - - - - - - - - - - - - - listbot sponsor - - - - - - - - - - - - - - - - - - - - - - - - - - start your own free email list at http : / / www . listbot . com / links / joinlb to unsubscribe , write to - unsubscribe @ listbot . com",0,ham,young families egg hunt
1362,http : / / www . pge - texas . com / www / gtt . nsf / htmlmedia / operations . html,0,ham,http : / / www . pge - texas . com / www / gtt . nsf / htmlmedia / operations . html
4746,is this fri feb 11 a problem for taking vacation ?,0,ham,is this fri feb 11 a problem for taking vacation ?
1631,"enbridge buys koch ' s east texas midstream assets for $ 231 m enbridge buys koch ' s east texas midstream assets for $ 231 m ngi ' s daily gas price index published : october 26 , [number] enbridge buys koch ' s east texas midstream assets for $ 231 m enbridge energy partners lp is buying gas gathering , treating , processing and transmission assets in east texas from koch midstream services for $ 230 . 5 million . the package includes all of the east texas system , which gathers 400 mmcf / d for delivery into the carthage hub . enbridge energy company president dan c . tutcher said the assets are a "" natural fit "" with enbridge ' s existing texas assets and will significantly expand the company ' s "" geographic footprint "" in the region as well as its energy commodity mix . "" we expect the acquisition to be immediately accretive to the partnership ' s distributable cash flow , and excellent prospects exist for further organic growth of the east texas system . ' ' enbridge partners will acquire 1 , 880 miles of various diameter gathering lines , 37 compressor stations , four gas treating plants with a capacity of 595 mmcf / d and three gas processing plants with a combined capacity of 375 mmcf / d . the transaction is anticipated to close in december . the intrastate system derives revenues from the purchase , transportation and resale of natural gas . additionally , when natural gas liquids fractionation spreads are positive , the option exists to extract ngls from purchased gas , thus leveraging income with incremental processing revenue , the company noted . the partnership expects that the direct commodity price exposures inherent in gas purchase and resale activities and in gas processing will be suitably mitigated through a hedging strategy . it forecasts gas supply available to the system will be [phone] mmcf / d in [number] . based on this estimate , the acquisition would contribute incremental ebitda of between $ 26 million and $ 32 million for the year , while distributable cash flow would increase by between $ 0 . 10 and $ 0 . 15 per unit , with further improvements anticipated in [number] . the forecasts assume that acquisition financing will consist of 50 % debt and 50 % equity , in line with enbridge partners target long - term capital structure . enbridge partners also reported third quarter net income of $ 6 . 6 million , or $ 0 . 13 per common unit , compared with net income of $ 14 . 2 million , or $ 0 . 42 per unit , for the third quarter in [number] . the decline was attributed mainly to an adjustment to oil inventory due to shippers of $ 5 . 4 million . the adjustment was the result of what enbridge said were refinements in the oil loss estimation process , as well as improvements in the accuracy of measuring oil losses while developing new software applications . third quarter deliveries were 1 , 208 million b / d compared to 1 , 272 mmb / d for the same period in the prior year . the partnership expects that deliveries will increase over the remainder of the year , to average between 1 . 30 and 1 . 33 mmb / d . however , its delivery estimates for [number] and [number] are down from prior expectations because of lower production forecasts for conventional heavy crude oil , which stem from the current wide price differential between heavy and light crude . for [number] , growing oil sands production is anticipated to boost full - year average deliveries to between 1 . 35 and 1 . 43 mmb / d . "" the partnership ' s forecast indicates that crude oil delivery volumes , which have languished for the past several quarters , will start to improve modestly in the near term with more significant increases occurring in the latter half of [number] , "" said tutcher . "" the major contributing factor will be increased production from the immense oil sands reserves in western canada . we also anticipate further successes from our acquisition strategy , which will increase earnings and diversify our sources of income . the partnership ' s primary objective over the next two to three years is to accelerate the growth of cash distributions to unitholders . to that end , we are confident that the acquisition of the east texas facilities combined with some improvement in liquid hydrocarbon deliveries will position the partnership to consider a distribution increase in [number] . ' '",0,ham,enbridge buys koch ' s east texas midstream assets for $ 231 m
4630,"this is hillarious ! this is hillarious ! take a minute and call ( [phone] and listen to the greeting of the brown & williamson tobacco company . at the point where you are asked to select an extension , hang up . david heineke dheineke @ tsteel . com",0,ham,this is hillarious !
2114,"this week ' s woodworking tip . . . follow - up this week ' s woodworking tip . . . follow - up good afternoon ! no , this isn ' t a new tip - just a follow - up on the one i sent this morning . i received some good responses and wanted to pass a couple of them along . kevin wrote to say that this tip works like a charm , except for one thing : he ' s had trouble with the router bit not being perfectly centered on the base , so his dadoes have ended up less than perfect . i referred to this briefly at the end of the tip , but here ' s a quick solution for avoiding the problem . before routing the dado in the gauge , first mark a point on the base of your router . ( i simply add a piece of masking tape since it ' s easy to see . ) then when routing the gauge ( and later , the panel ) , always keep this mark against the straightedge . your dadoes should be right on . another email came in from mike , who suggested making two alignment gauges . then you can clamp one at each end of the workpiece before you clamp the straightedge fence down . this prevents the "" wiggling "" that often occurs when one end is clamped before the other . great tip ! a big thanks to all who have been sending in suggestions . it ' s great to hear that so many people are enjoying the tips . talk to you again in a few weeks . jon garbison on - line editor woodsmith visit our other woodworking and home improvement sites : 100 + woodworking plans : woodsmith magazine : shopnotes magazine : workbench magazine : kits , jigs , tools , project plans : back issues : woodworking forums : to change your email address or resubscribe , sign up again at to unsubscribe , send empty email message to : note : your subscribed email address is",0,ham,this week ' s woodworking tip . . . follow - up
4635,first delivery - rodessa operating co . first delivery - rodessa operating co . see attached letter,0,ham,first delivery - rodessa operating co .
1650,"lacy ' s eye exam lacy ' s eye exam hi bubba ! lacy got her eye exam yesterday . he said that she is very near sighted , but the diabetes has not affected her eyes at all . that was a relief . she ' s been having headaches , so i was concerned . they probably have been from her blood sugars being out of control . she is doing so much better now . i have stopped waking her up to check it in the night & the levels are so much better . she ' s acting a lot more like her old self now . a lot nicer to me . i guess her sugars out of control & all the stress of tiger dolls was what was wrong with her . she doesn ' t say the cruel things to me that she used to . i knew something had to be wrong with her . i thought surely i had not raised a child with such a mean spirit . anyway things are a lot better . tell cole that mimi hopes his eye appointment goes as well as lacy ' s . let him call to tell me about it . i hope he gets his teary eye "" fixed "" . lacy ' s eye doctor talked more about her teeth almost than he did her eyes . he couldn ' t believe her teeth are so perfect without braces . and she is so tanned , you can see her a mile away with those white teeth shining when she smiles . she has a dentist appointment for cleaning at the first part of next week . we ' ll talk later about when we are coming to your house . i ' m going to longview to a singles retreat sat . in case you call & i ' m not there . will be home sat . night . love ya , maw",0,ham,lacy ' s eye exam
353,"just wanted to say goodbye . i truly appreciate all you ' ve done for me . you ' ve just wanted to say goodbye . i truly appreciate all you ' ve done for me . you ' ve been a great manager . i hope you ' ll keep in touch and let me know if you are ever in san francisco . good luck with whatever you decide to do . take care , ami",0,ham,just wanted to say goodbye . i truly appreciate all you ' ve done for me . you ' ve
